max_depth,max_features,min_samples_split,min_samples_leaf,fit_time_sec,experiment_id
2584,8,8,1,0.13917994499206543,12455a42-d5af-418f-b1a4-377be8a30bfe
1597,377,2,1,0.12991070747375488,3f01c557-ed2c-47c6-bbd5-ac9c3a5f1d3e
1597,377,3,2,0.1497809886932373,692131c9-aa70-406c-873a-4275bb0e5e84
4181,89,13,8,0.11493492126464844,ce47603b-8c87-49f3-83a4-07bf98f40dc1
4181,144,5,2,0.15755462646484375,c92b7ffb-543d-4190-a74d-3caf5d858948
1597,1597,2,1,0.11511850357055664,927452f2-7a8b-465a-a1a9-e874f75657a8
4181,2584,2,1,0.11183738708496094,6631b1fd-dcd4-4d0f-aa77-fe9734681bc1
610,1597,3,2,0.11630940437316895,442344b4-e396-40dd-9008-d20f7f57a43b
4181,21,2,5,0.31523871421813965,b11e4929-a678-45d4-98d2-1029c8b6eece
610,34,2,2,0.11989378929138184,cc38d356-472c-4c66-bf1d-ed0eb74905d1
233,89,3,2,0.12021446228027344,fef3d16c-1c14-4045-9d83-951adc5a31c8
1597,89,2,1,0.13205504417419434,c4f3239a-7ce0-47b6-b8f0-f04ca35f411a
